video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
xfmuMWBrFco,edX,UC67Vc0fkLYeUPBp1f02VY9Q,1548287755.0,Electric Cars: Policies and Policy Instruments in the EV industry,"If national governments embrace electric vehicles, how should their adoption be accelerated? How are municipal, state, national ...",,https://i.ytimg.com/vi/xfmuMWBrFco/hqdefault.jpg,2023-12-02 20:53:11.646871
lwrXEjjBUio,outbacktesla,UCrFISFUCTcxAWtM2ROpYeJA,1554024860.0,E25 - The power of good EV policy,"In this early morning episode we talk about the power of good EV policy, contrast policy in Norway and Australia, and talk a little ...",,https://i.ytimg.com/vi/lwrXEjjBUio/hqdefault.jpg,2023-12-02 20:53:11.646894
7sR4ISHY-nc,Signature Electric Ltd.,UCQ9a5ncvjTm8BnfZtDZo03w,1561147514.0,Signature Electric - EV Management Policy (6 of 6),EV Management Policy at One Bedford Condo - One of the best recommendations for condominiums is to have an EV ...,,https://i.ytimg.com/vi/7sR4ISHY-nc/hqdefault.jpg,2023-12-02 20:53:11.646913
5pxfyuDfQqI,The Hindu,UC3njZ48-FDxLleBYaP0SZIg,1569061727.0,What is Tamil Nadu&#39;s new Electric Vehicle Policy?,"The Tamil Nadu State Government introduced its first-ever electric vehicle (EV) policy. The Tamil Nadu Electric Vehicle Policy, ...",,https://i.ytimg.com/vi/5pxfyuDfQqI/hqdefault.jpg,2023-12-02 20:53:11.646930
DyJagBh1cPk,Electric Vehicles India,UC_ebLnatS9Fje8LhydkCqOg,1566583074.0,"UP Govt Launches EV Policy 2019 - No Road Tax, Only EVs by 2024",Uttar Pradesh Government Launches Electric Vehicles Policy 2024. UP Govt EV Policy full details ...,,https://i.ytimg.com/vi/DyJagBh1cPk/hqdefault.jpg,2023-12-02 20:53:11.646946
hzss2yfI4PE,Siasat.pk,UCIBXrdeo76LONJh9mUBMw3Q,1577552438.0,What is National Electric Vehicle Policy and how it will benefit Pakistan?,Follow us on http://www.siasat.pk http://www.instagram.com/siasat.pk http://facebook.com/siasat.pk http://twitter.com/siasatpk.,,https://i.ytimg.com/vi/hzss2yfI4PE/hqdefault.jpg,2023-12-02 20:53:11.646963
IcbfeDCkZuo,Electric Vehicles India,UC_ebLnatS9Fje8LhydkCqOg,1577381597.0,"Delhi EV Policy 2019 - No Road Tax, No Registration Fee",Delhi Electric Vehicle Policy 2019 Highlights: Improving the air quality of Delhi Incentives for Electric Vehicle Buyers Setting up ...,,https://i.ytimg.com/vi/IcbfeDCkZuo/hqdefault.jpg,2023-12-02 20:53:11.646978
8b8polsjjpU,carandbike,UCGRIgtqal_cC7V_cD-Zylkg,1568738399.0,MG eZS | KTM 790 Duke Launch | Tamil Nadu EV Policy,"The top automotive news of the day –MG eZS has been teased, KTM to launch 790 Duke in India, Tamil Nadu drafts EV policy.",,https://i.ytimg.com/vi/8b8polsjjpU/hqdefault.jpg,2023-12-02 20:53:11.646994
KxdiNmWym7U,Automotive Pk,UCfGkq0xZ9AXkCqg1lXWPu9g,1572958226.0,Good step by gov. Introducing EV policy.,"Audiences, where vehicles have been facilitating long haul routes, have been found to be detrimental to our environment.",,https://i.ytimg.com/vi/KxdiNmWym7U/hqdefault.jpg,2023-12-02 20:53:11.647011
ZETOSFb6vsQ,Daniel Hilson,UC9PiUUNZj8EGtBZtJW8ASjg,1565667543.0,Charge Together - EV Policy in Australia - the road ahead,"Behyad Jafari is the CEO of the Electric Vehicle Council and works with industry, government and the media to accelerate the ...",,https://i.ytimg.com/vi/ZETOSFb6vsQ/hqdefault.jpg,2023-12-02 20:53:11.647028
