video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
tt3BSseLSWk,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1681274702.0,Biden admin accelerating electric vehicle movement with new standards,The EPA is expected to announce new emissions standards tomorrow. The Biden administration wants to accelerate the green ...,,https://i.ytimg.com/vi/tt3BSseLSWk/hqdefault.jpg,2023-12-02 21:03:14.958792
eNW-UHlqGCs,WION,UC_gUM8rL-Lrg6O3adPW9K1g,1694704001.0,India&#39;s new EV policy in the work: Empowering India&#39;s EV industry | WION,"In a bid to accelerate the Electric Vehicle Revolution in India, the country is looking to unveil a groundbreaking policy aimed at ...",,https://i.ytimg.com/vi/eNW-UHlqGCs/hqdefault.jpg,2023-12-02 21:03:14.958849
pv1PUjvzfW8,The Electric Viking,UCjzi56cxvmEDwjo1Bd2Yxpg,1697721304.0,Australian High Court reverses illegal tax; calls it ‘world’s worst EV policy’,Australian High Court reverses illegal tax; calls it 'world's worst EV policy' Buy something and support The Electric Viking ...,,https://i.ytimg.com/vi/pv1PUjvzfW8/hqdefault.jpg,2023-12-02 21:03:14.958891
TE5bdqyWbs4,Exploratics,UCDkXdGTRsVhQ8SKZun-DAHA,1685145193.0,China New Breakthrough and Policy Puts China 10 Years Ahead of The US In The EV Industry,"Watch this video: https://youtu.be/gI4aNkoAtCA China Set To kick out Apple, NVIDIA https://youtu.be/nXkibIghlEk ...",,https://i.ytimg.com/vi/TE5bdqyWbs4/hqdefault.jpg,2023-12-02 21:03:14.958928
WaZQNWlnEzM,Zee Business,UCkXopQ3ubd-rnXnStZqCl2w,1697810035.0,Delhi&#39;s New EV Policy 2.0: Here&#39;s What You Need to Know,दिल्ली में EV को लेकर नई नीति को मंजूरी? EV पॉलिसी 2.0 में क्या खास है?,,https://i.ytimg.com/vi/WaZQNWlnEzM/hqdefault.jpg,2023-12-02 21:03:14.958964
DK7MjajHMAY,Velocity,UCLrpUbL6IYRG74mJ3QxXDog,1680215898.0,The Real Reason Toyota Won’t Switch To EV,"The New Toyota CEO hasn't even officially started yet, but he is already making huge news. He reconfirmed the Toyota News that ...",,https://i.ytimg.com/vi/DK7MjajHMAY/hqdefault.jpg,2023-12-02 21:03:14.959001
R1dVIMGCsNc,WION,UC_gUM8rL-Lrg6O3adPW9K1g,1693049631.0,India to turbocharge its EV policy | World Business Watch | WION,India's automotive industry is poised for a seismic shift. A new policy under consideration could substantially slash import taxes for ...,,https://i.ytimg.com/vi/R1dVIMGCsNc/hqdefault.jpg,2023-12-02 21:03:14.959036
tIdp_y7BQ4Y,Forbes Breaking News,UCg40OxZ1GYh3u3jBntB6DLg,1682487027.0,Joe Manchin Pushes Back On Key Biden EV Policy While Questioning Energy Secretary Jennifer Granholm,"At last Thursday's Senate Energy Committee hearing, Sen. Joe Manchin (D-WV) questioned Energy Sec. Jennifer Granholm ...",,https://i.ytimg.com/vi/tIdp_y7BQ4Y/hqdefault.jpg,2023-12-02 21:03:14.959071
4DuNuTHQ5cA,Capturn,UC0oNeXXaLQjdt95YPR-0ZJQ,1673202764.0,DON&#39;T BUY AN EV: The Truth About Electric Car,Electric Car Vs Petrol Car - this debate has been going on ever since the first EV car was launched in India. Most people believe ...,,https://i.ytimg.com/vi/4DuNuTHQ5cA/hqdefault.jpg,2023-12-02 21:03:14.959106
WqpqBelWk9E,Drishti IAS : English,UCafpueX9hFLls24ed6UddEQ,1694692812.0,EV Policy 2 0 | Latest Update | Drishti IAS English,The Delhi Government has recently launched the EV Policy 2.0 to incentivise and encourage the retro fitting technology for ...,,https://i.ytimg.com/vi/WqpqBelWk9E/hqdefault.jpg,2023-12-02 21:03:14.959141
