video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
lbUZZxXx5B4,http://www.youtube.com/channel/UC3VK3gMiBTEfRcbx5ptJE7w,UC3VK3gMiBTEfRcbx5ptJE7w,@grog5564,Ugz-NGT-txFNPSGzc7p4AaABAg,1,1661480994.0,"Electric vehicles are way over priced, limited range, the posted range is total BS by experts admission. They are susceptible to lightening strikes, which totals the  car. I don't want to have to pull a trailer with a generator in it just to get home if I decide to go camping around Priest Lake or Pond Orielle. Go on a road trip, when you refuel it takes 15 minutes and time to pee. Charge your limited range POS and it takes 4 hours, if you can find a place to charge. 
The technology is decades from being more than good for Urban run a bouts.",none,,2023-12-02 21:51:06.288779,0.0
lbUZZxXx5B4,http://www.youtube.com/channel/UC-LwD1RP4rh5DXkn-5knRzg,UC-LwD1RP4rh5DXkn-5knRzg,@frankcoffey,UgxQ0hCQnog6DJQ1lPd4AaABAg,1,1661476485.0,"All the traditional automakers have been moving upscale in price for over a decade now. Some have basically stopped making sedans. It may come down to GM and China to supply the cars below that line. Remember when we didn't think consumers could afford cars over $30,000? Now that seems like the starting price.",none,,2023-12-02 21:51:06.288819,0.0
lbUZZxXx5B4,http://www.youtube.com/channel/UC-LwD1RP4rh5DXkn-5knRzg,UC-LwD1RP4rh5DXkn-5knRzg,@frankcoffey,UgytZeJw8X5YhqME73R4AaABAg,1,1661476191.0,Most Automakers have already invested billions in the switch to EVs and ICE vehicles are getting more expensive to build and parts are not getting easier to get. It's beyond tipping point.,none,,2023-12-02 21:51:06.288837,0.0
BwC7uRcnC6g,http://www.youtube.com/channel/UCGuj1vUwOeKHt-K1vX8xtVg,UCGuj1vUwOeKHt-K1vX8xtVg,@jeevad.tharan4179,UgwDJrUjOsRyp91G9rF4AaABAg,1,1652522490.0,"Fu*k Tesla and it's predatory strategy. It's a moderately good electric car, no loss for India or Indians if the Tesla decides to move out. We don't need to bend over backwards to facilitate a hypocrite narcissist Elon and Tesla. 
GoI is absolutely on the right track, with the policies and subsidies. Now the important step is to build lots and lots of HV DC chargers absolutely everywhere. Once we have the infra the adoption will be phenomenal. And I see lots of companies trying to move in this direction.",none,,2023-12-02 21:51:06.493263,0.0
BwC7uRcnC6g,http://www.youtube.com/channel/UC5-_VP8QY5_53wUDTrk-CkQ,UC5-_VP8QY5_53wUDTrk-CkQ,@aftonline,UgyiVtQ8gnTcxw_wqIx4AaABAg,5,1652519244.0,"I don't particularly respect Elon Musk for trying to bully India into changing import duties just so he can import fully built up cars into India, while pretending that he really only wants to build Teslas in India. Just build the gigafactory in India, Elon, and forget about importing the high-spec cars from elsewhere. Then you can sell large numbers of cars in India that the masses can actually afford. Even a 40% import duty is going to make Teslas very expensive for locals in India.",none,,2023-12-02 21:51:06.493281,1.0
Y9UjeZBOirE,http://www.youtube.com/channel/UCVOTBwF0vnSxMRIbfSE_K_g,UCVOTBwF0vnSxMRIbfSE_K_g,@LabourLawAdvisor,UgzFXPMf8MkrQbJmkCx4AaABAg,295,1643573298.0,"Get the best insurance: https://link.lla.in/policy
Peer-Reviewed Life Cycle Study comparing carbon emissions between EVs and Internal Combustion Engine Cars: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1530-9290.2012.00532.x",none,,2023-12-02 21:51:07.109352,75.0
Y9UjeZBOirE,http://www.youtube.com/channel/UCrXFPcvqXfCLLh-VnEHE_Tw,UCrXFPcvqXfCLLh-VnEHE_Tw,@gulshangoyal1012,UgwZT1CqbjPhuhSLmVV4AaABAg,0,1699962414.0,Bhai ek baat batao ye data kon batayega ki petrol nikalne me kitne emission hua diesel bana ne me kitna nikla unhe lane me kitna nikla oil ke liye dusre desho pr dependency ka kya oil khtm ho jayega tab kya ye bhi to bata do😂,none,,2023-12-02 21:51:07.109438,0.0
Y9UjeZBOirE,http://www.youtube.com/channel/UCbc-rY3p5mcvXkbuaSmrtkQ,UCbc-rY3p5mcvXkbuaSmrtkQ,@virengohel2310,Ugy4bCGSfP9IojHr67N4AaABAg,0,1699624790.0,Bro it's not just for carbon emission fossil fuels contain sulphides and nitrides which are harmful or dangerous than carbon.Therefore EVs are more beneficial.,none,,2023-12-02 21:51:07.109456,0.0
Y9UjeZBOirE,http://www.youtube.com/channel/UCMlh_yF1rSBwmSgKjmtAshA,UCMlh_yF1rSBwmSgKjmtAshA,@Kz7s,UgzddlBDm35QgJJoDvR4AaABAg,0,1699251931.0,"1 lakh 40 hazar, kitna gadi chalta hai😅 99% people here thinks theyre smarter than this youtuber, infact they dont even undersrand 1% of the information and calculation given here.",none,,2023-12-02 21:51:07.109497,0.0
Y9UjeZBOirE,http://www.youtube.com/channel/UCMlh_yF1rSBwmSgKjmtAshA,UCMlh_yF1rSBwmSgKjmtAshA,@Kz7s,Ugw4ED7m9-UELVsZDZR4AaABAg,0,1699251766.0,It will only work when renewable energy is used for every processes and for charging. Which is not possible with current technology.,none,,2023-12-02 21:51:07.109515,0.0
